中国联通-浙江-酒店,#genre#
央视9纪录,http://101.71.212.242:9901/tsfile/live/0009_1.m3u8
央视10科教,http://101.71.212.242:9901/tsfile/live/0010_1.m3u8
央视11戏曲,http://101.71.212.242:9901/tsfile/live/0011_1.m3u8
央视12社会与法,http://101.71.212.242:9901/tsfile/live/0012_1.m3u8
央视13新闻,http://101.71.212.242:9901/tsfile/live/0013_1.m3u8
CCTV14,http://101.71.212.242:9901/tsfile/live/0014_1.m3u8
央视15音乐,http://101.71.212.242:9901/tsfile/live/0015_1.m3u8
北京卫视,http://101.71.212.242:9901/tsfile/live/0122_1.m3u8
江苏卫视,http://101.71.212.242:9901/tsfile/live/0127_1.m3u8
上海卫视,http://101.71.212.242:9901/tsfile/live/0107_1.m3u8
湖南卫视,http://101.71.212.242:9901/tsfile/live/0128_1.m3u8
安徽卫视,http://101.71.212.242:9901/tsfile/live/0130_1.m3u8
重庆卫视,http://101.71.212.242:9901/tsfile/live/0142_1.m3u8
广东卫视,http://101.71.212.242:9901/tsfile/live/0125_1.m3u8
东南卫视,http://101.71.212.242:9901/tsfile/live/0123_1.m3u8
江西卫视,http://101.71.212.242:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://101.71.212.242:9901/tsfile/live/0120_1.m3u8
浙江卫视,http://101.71.212.242:9901/tsfile/live/0124_1.m3u8
综合,http://101.71.212.242:9901/tsfile/live/0121_1.m3u8
明珠,http://101.71.212.242:9901/tsfile/live/0116_1.m3u8
生活,http://101.71.212.242:9901/tsfile/live/0135_1.m3u8
少儿,http://101.71.212.242:9901/tsfile/live/0137_1.m3u8
ZTV8,http://101.71.212.242:9901/tsfile/live/0143_1.m3u8
影视,http://101.71.212.242:9901/tsfile/live/0124_2.m3u8
